gene_id	gene_name	geneID	gene_id2	geneType	NTC	Lipo	PEI	ExFect	Infect	Elec
ENSG00000243485	MIR1302-2HG	107985730	ENSG00000243485.5	lncRNA	0.056353634	0.066455142	0.068134481	0	0.013256274	0.007576689
ENSG00000237613	FAM138A	645520	ENSG00000237613.2	lncRNA	0	0	0	0.029999138	0	0
ENSG00000186092	OR4F5	79501	ENSG00000186092.7	protein_coding	0	0	0	0	0	0
ENSG00000284733	OR4F29	729759	ENSG00000284733.2	protein_coding	0	0	0	0	0	0
ENSG00000284662	OR4F16	81399	ENSG00000284662.2	protein_coding	0	0	0	0	0	0
ENSG00000237491	LINC01409	105378580	ENSG00000237491.10	lncRNA	1.280515908	1.292504426	0.914670432	1.47084759	1.310627599	1.595870665
ENSG00000177757	FAM87B	400728	ENSG00000177757.2	lncRNA	0.029897749	0	0	0.016885664	0	0
ENSG00000225880	LINC00115	79854	ENSG00000225880.6	lncRNA	1.737396008	2.17164258	1.529705086	1.067393525	2.105866941	1.62335817
ENSG00000228794	LINC01128	643837	ENSG00000228794.12	lncRNA	5.854143252	5.362101019	5.113764981	8.820915141	5.789451454	8.828938859
ENSG00000230368	FAM41C	284593	ENSG00000230368.2	lncRNA	0.011852748	0.010823094	0.009251722	0.020312959	0.017002563	0.00478077
ENSG00000223764	LINC02593	100130417	ENSG00000223764.2	lncRNA	21.66298464	10.70028093	8.336593606	14.97721391	13.47727181	20.39647398
ENSG00000187634	SAMD11	148398	ENSG00000187634.13	protein_coding	24.64199977	17.92579557	17.14545982	26.0129423	30.43739233	25.96704486
ENSG00000188976	NOC2L	26155	ENSG00000188976.11	protein_coding	134.6404687	104.8657439	116.2699206	135.1273755	107.648037	147.2917567
ENSG00000187961	KLHL17	339451	ENSG00000187961.15	protein_coding	62.1984412	58.00075209	49.63599132	36.19067231	65.07708144	44.70358894
ENSG00000187583	PLEKHN1	84069	ENSG00000187583.11	protein_coding	0.277205167	0.326621974	0.20617419	0.165842966	0.462925472	0.155643193
ENSG00000187642	PERM1	84808	ENSG00000187642.10	protein_coding	0.072589954	0.020621664	0.061149156	0.598351147	0.110296424	0.044786493
ENSG00000188290	HES4	57801	ENSG00000188290.11	protein_coding	150.6233643	175.9770878	153.4738673	72.68174207	135.1653559	88.53634714
ENSG00000187608	ISG15	9636	ENSG00000187608.10	protein_coding	3.238394066	4.601224819	4.107795323	2.225739484	3.338234312	2.290067615
ENSG00000188157	AGRN	375790	ENSG00000188157.15	protein_coding	110.7065175	122.3913613	91.54955521	75.60126853	154.47362	101.187545
ENSG00000237330	RNF223	401934	ENSG00000237330.3	protein_coding	0.061630191	0.132946661	0.37936133	0.265402689	0.150733187	0.049716699
ENSG00000131591	C1orf159	54991	ENSG00000131591.18	protein_coding	51.82285679	36.99253589	34.18149058	45.24090367	47.58664124	54.25555832
ENSG00000223823	LINC01342	254099	ENSG00000223823.1	lncRNA	0	0	0	0	0	0
ENSG00000205231	TTLL10-AS1	100506376	ENSG00000205231.1	lncRNA	0.004979478	0	0	0.020867613	0	0.004016915
ENSG00000162571	TTLL10	254173	ENSG00000162571.14	protein_coding	0	0	0	0	0	0
ENSG00000186891	TNFRSF18	8784	ENSG00000186891.14	protein_coding	0.023921927	0.092375474	0.019706629	0.063055247	0.007987431	0
ENSG00000186827	TNFRSF4	7293	ENSG00000186827.12	protein_coding	0.007543228	0.024135196	0.031737162	0.041004499	0.034949421	0.014713095
ENSG00000078808	SDF4	51150	ENSG00000078808.20	protein_coding	94.05006841	100.9631689	97.94199999	109.6741828	98.01901026	108.1943358
ENSG00000176022	B3GALT6	126792	ENSG00000176022.7	protein_coding	34.85526149	25.72503088	33.20229765	33.95058822	31.67337997	42.42071737
ENSG00000184163	C1QTNF12	388581	ENSG00000184163.3	protein_coding	3.057450183	8.871619281	4.221318443	2.071402728	3.298469965	1.306100542
ENSG00000160087	UBE2J2	118424	ENSG00000160087.21	protein_coding	69.93861482	69.59967228	70.99618662	80.13155438	64.77892081	76.52702709
